date,weight_lbs,calorie_target,calories_logged,protein_g_target,fat_g_target,carbs_g_target
2026-05-11,179.9,2340,2487,180,54,284
2026-05-12,179.9,2340,2338,180,54,284
2026-05-13,179.0,2334,2439,179,54,284
2026-05-14,179.0,2334,2242,179,54,284
2026-05-15,178.6,2331,2696,179,54,284
2026-05-16,178.6,2331,2258,179,54,284
2026-05-17,178.6,2331,2402,179,54,284
2026-05-18,178.2,2328,2348,178,53,284
2026-05-19,178.2,2328,2231,178,53,284
2026-05-20,177.4,2322,2442,177,53,283
2026-05-21,177.4,2322,2327,177,53,283
2026-05-22,176.8,2318,2886,177,53,283
2026-05-23,176.8,2318,2210,177,53,283
2026-05-24,176.8,2318,2243,177,53,283
2026-05-25,175.8,2311,2232,176,53,283
2026-05-26,175.8,2311,2447,176,53,283
2026-05-27,175.3,2308,2375,175,53,283
2026-05-28,175.3,2308,2869,175,53,283
2026-05-29,175.2,2307,2176,175,53,283
2026-05-30,175.2,2307,2730,175,53,283
2026-05-31,175.2,2307,2308,175,53,283
2026-06-01,174.7,2303,2365,175,52,283
2026-06-02,174.7,2303,2189,175,52,283
2026-06-03,173.9,2298,2236,174,52,283
2026-06-04,173.9,2298,2214,174,52,283
2026-06-05,173.8,2297,2658,174,52,283
2026-06-06,173.8,2297,2329,174,52,283
2026-06-07,173.8,2297,2312,174,52,283
2026-06-08,173.0,2291,2303,173,52,283
2026-06-09,173.0,2291,2207,173,52,283
2026-06-10,173.3,2294,2370,173,52,283
2026-06-11,173.3,2294,2168,173,52,283
2026-06-12,173.4,2294,2355,173,52,283
2026-06-13,173.4,2294,2820,173,52,283
2026-06-14,173.4,2294,2813,173,52,283
2026-06-15,173.5,2295,2317,174,52,283
2026-06-16,173.5,2295,2726,174,52,283
2026-06-17,173.8,2297,2182,174,52,283
2026-06-18,173.8,2297,2322,174,52,283
2026-06-19,174.0,2299,2803,174,52,283
2026-06-20,174.0,2299,2285,174,52,283
2026-06-21,174.0,2299,2286,174,52,283
2026-06-22,173.3,2294,2779,173,52,283
2026-06-23,173.3,2294,2361,173,52,283
2026-06-24,172.5,2288,2383,172,52,283
2026-06-25,172.5,2288,2311,172,52,283
2026-06-26,171.6,2282,2719,172,51,283
2026-06-27,171.6,2282,2979,172,51,283
2026-06-28,171.6,2282,2152,172,51,283
2026-06-29,170.8,2276,2136,171,51,283
2026-06-30,170.8,2276,2357,171,51,283
2026-07-01,170.2,2272,2415,170,51,283
2026-07-02,170.2,2272,2248,170,51,283
2026-07-03,170.0,2270,2235,170,51,283
2026-07-04,170.0,2270,2392,170,51,283
2026-07-05,170.0,2270,2325,170,51,283
2026-07-06,169.4,2266,2278,169,51,283
2026-07-07,169.4,2266,2221,169,51,283
2026-07-08,168.9,2263,2274,169,51,283
2026-07-09,168.9,2263,2331,169,51,283
2026-07-10,168.9,2263,2114,169,51,283
2026-07-11,168.9,2263,2682,169,51,283
2026-07-12,168.9,2263,2276,169,51,283
2026-07-13,168.6,2261,2358,169,51,283
2026-07-14,168.6,2261,2214,169,51,283
2026-07-15,168.8,2262,2393,169,51,283
2026-07-16,168.8,2262,2146,169,51,283
2026-07-17,167.8,2255,2231,168,50,283
2026-07-18,167.8,2255,2370,168,50,283
2026-07-19,167.8,2255,2637,168,50,283
2026-07-20,166.7,2247,2561,167,50,283
2026-07-21,166.7,2247,2308,167,50,283
2026-07-22,166.9,2249,2845,167,50,283
2026-07-23,166.9,2249,2169,167,50,283
2026-07-24,166.5,2246,2355,166,50,283
2026-07-25,166.5,2246,2747,166,50,283
2026-07-26,166.5,2246,2341,166,50,283
2026-07-27,166.0,2242,2188,166,50,283
2026-07-28,166.0,2242,2294,166,50,283
2026-07-29,165.2,2237,2177,165,50,282
2026-07-30,165.2,2237,2801,165,50,282
2026-07-31,164.6,2232,2173,165,49,282
2026-08-01,164.6,2232,2912,165,49,282
2026-08-02,164.6,2232,2356,165,49,282
2026-08-03,165.8,2241,2219,166,50,283
