date,weight_lbs
2026-05-11,179.9
2026-05-13,179.0
2026-05-15,178.6
2026-05-18,178.2
2026-05-20,177.4
2026-05-22,176.8
2026-05-25,175.8
2026-05-27,175.3
2026-05-29,175.2
2026-06-01,174.7
2026-06-03,173.9
2026-06-05,173.8
2026-06-08,173.0
2026-06-10,173.3
2026-06-12,173.4
2026-06-15,173.5
2026-06-17,173.8
2026-06-19,174.0
2026-06-22,173.3
2026-06-24,172.5
2026-06-26,171.6
2026-06-29,170.8
2026-07-01,170.2
2026-07-03,170.0
2026-07-06,169.4
2026-07-08,168.9
2026-07-10,168.9
2026-07-13,168.6
2026-07-15,168.8
2026-07-17,167.8
2026-07-20,166.7
2026-07-22,166.9
2026-07-24,166.5
2026-07-27,166.0
2026-07-29,165.2
2026-07-31,164.6
2026-08-03,165.8
