workout_id,date,muscle_group,subgroup,exercise_name,set_number,reps,weight_lbs,set_volume
0,2026-05-11,chest,upper_chest,Incline Dumbbell Bench Press,1,6,117.6,705.6
0,2026-05-11,chest,upper_chest,Incline Dumbbell Bench Press,2,12,111.1,1333.2
0,2026-05-11,chest,upper_chest,Incline Dumbbell Bench Press,3,11,111.6,1227.6
0,2026-05-11,chest,upper_chest,Incline Dumbbell Bench Press,4,11,114.2,1256.2
0,2026-05-11,shoulders,front_delt,Barbell Overhead Press,1,9,36.0,324.0
0,2026-05-11,shoulders,front_delt,Barbell Overhead Press,2,9,35.3,317.7
0,2026-05-11,shoulders,front_delt,Barbell Overhead Press,3,10,38.6,386.0
0,2026-05-11,shoulders,front_delt,Barbell Overhead Press,4,6,36.8,220.8
0,2026-05-11,tricep,lateral_medial,Tricep Pushdown,1,12,41.4,496.8
0,2026-05-11,tricep,lateral_medial,Tricep Pushdown,2,6,37.9,227.4
0,2026-05-11,tricep,lateral_medial,Tricep Pushdown,3,7,39.5,276.5
0,2026-05-11,tricep,lateral_medial,Tricep Pushdown,4,11,43.8,481.8
0,2026-05-12,back,upper_back,Chest-Supported Row,1,12,121.3,1455.6
0,2026-05-12,back,upper_back,Chest-Supported Row,2,12,121.4,1456.8
0,2026-05-12,back,upper_back,Chest-Supported Row,3,10,117.0,1170.0
0,2026-05-12,back,lats,Close-Grip Lat Pulldown,1,10,124.5,1245.0
0,2026-05-12,back,lats,Close-Grip Lat Pulldown,2,10,124.2,1242.0
0,2026-05-12,back,lats,Close-Grip Lat Pulldown,3,10,118.2,1182.0
0,2026-05-12,bicep,supinated,Barbell Curl,1,8,33.8,270.4
0,2026-05-12,bicep,supinated,Barbell Curl,2,12,33.1,397.2
0,2026-05-12,bicep,supinated,Barbell Curl,3,7,25.6,179.2
0,2026-05-12,bicep,nuetral,Rope Hammer Curl,1,6,32.3,193.8
0,2026-05-12,bicep,nuetral,Rope Hammer Curl,2,12,25.7,308.4
0,2026-05-12,bicep,nuetral,Rope Hammer Curl,3,12,30.3,363.6
0,2026-05-13,legs,quads,Hack Squat,1,8,150.3,1202.4
0,2026-05-13,legs,quads,Hack Squat,2,10,149.2,1492.0
0,2026-05-13,legs,quads,Hack Squat,3,7,154.3,1080.1
0,2026-05-13,legs,hamstrings,Seated Leg Curl,1,9,155.0,1395.0
0,2026-05-13,legs,hamstrings,Seated Leg Curl,2,11,148.7,1635.7
0,2026-05-13,legs,hamstrings,Seated Leg Curl,3,10,149.5,1495.0
0,2026-05-13,legs,hamstrings,Seated Leg Curl,4,7,147.2,1030.4
0,2026-05-13,legs,glutes,Cable Kickback,1,10,150.5,1505.0
0,2026-05-13,legs,glutes,Cable Kickback,2,10,147.2,1472.0
0,2026-05-13,legs,glutes,Cable Kickback,3,6,152.1,912.6
0,2026-05-14,chest,mid_chest,Barbell Bench Press,1,6,115.1,690.6
0,2026-05-14,chest,mid_chest,Barbell Bench Press,2,8,116.7,933.6
0,2026-05-14,chest,mid_chest,Barbell Bench Press,3,7,115.4,807.8
0,2026-05-14,chest,mid_chest,Barbell Bench Press,4,11,119.4,1313.4
0,2026-05-14,shoulders,side_delt,Machine Lateral Raise,1,7,37.8,264.6
0,2026-05-14,shoulders,side_delt,Machine Lateral Raise,2,12,34.1,409.2
0,2026-05-14,shoulders,side_delt,Machine Lateral Raise,3,6,31.0,186.0
0,2026-05-14,shoulders,side_delt,Machine Lateral Raise,4,9,33.5,301.5
0,2026-05-14,tricep,long_head,EZ Bar Skull Crusher,1,12,42.3,507.6
0,2026-05-14,tricep,long_head,EZ Bar Skull Crusher,2,11,41.5,456.5
0,2026-05-14,tricep,long_head,EZ Bar Skull Crusher,3,11,36.0,396.0
0,2026-05-14,tricep,long_head,EZ Bar Skull Crusher,4,9,42.3,380.7
0,2026-05-15,back,traps,Dumbbell Shrug,1,7,119.2,834.4
0,2026-05-15,back,traps,Dumbbell Shrug,2,8,119.6,956.8
0,2026-05-15,back,traps,Dumbbell Shrug,3,12,124.2,1490.4
0,2026-05-15,back,traps,Dumbbell Shrug,4,9,123.1,1107.9
0,2026-05-15,back,lats,Straight-Arm Pulldown,1,6,121.5,729.0
0,2026-05-15,back,lats,Straight-Arm Pulldown,2,10,123.4,1234.0
0,2026-05-15,back,lats,Straight-Arm Pulldown,3,6,124.3,745.8
0,2026-05-15,bicep,supinated,EZ Bar Curl,1,9,29.9,269.1
0,2026-05-15,bicep,supinated,EZ Bar Curl,2,7,33.6,235.2
0,2026-05-15,bicep,supinated,EZ Bar Curl,3,6,26.6,159.6
0,2026-05-15,bicep,nuetral,Hammer Curl,1,8,34.3,274.4
0,2026-05-15,bicep,nuetral,Hammer Curl,2,12,29.6,355.2
0,2026-05-15,bicep,nuetral,Hammer Curl,3,9,32.0,288.0
0,2026-05-15,bicep,nuetral,Hammer Curl,4,11,35.0,385.0
0,2026-05-16,legs,hamstrings,Nordic Hamstring Curl,1,7,148.0,1036.0
0,2026-05-16,legs,hamstrings,Nordic Hamstring Curl,2,6,150.8,904.8
0,2026-05-16,legs,hamstrings,Nordic Hamstring Curl,3,10,145.6,1456.0
0,2026-05-16,legs,glutes,Cable Kickback,1,6,150.8,904.8
0,2026-05-16,legs,glutes,Cable Kickback,2,10,154.2,1542.0
0,2026-05-16,legs,glutes,Cable Kickback,3,10,146.6,1466.0
0,2026-05-16,legs,calves,Standing Calf Raise,1,6,151.0,906.0
0,2026-05-16,legs,calves,Standing Calf Raise,2,11,153.6,1689.6
0,2026-05-16,legs,calves,Standing Calf Raise,3,9,146.2,1315.8
0,2026-05-18,chest,lower_chest,Decline Bench Press,1,9,116.6,1049.4
0,2026-05-18,chest,lower_chest,Decline Bench Press,2,10,115.2,1152.0
0,2026-05-18,chest,lower_chest,Decline Bench Press,3,8,112.0,896.0
0,2026-05-18,shoulders,rear_delt,Cable Rear Delt Fly,1,8,34.0,272.0
0,2026-05-18,shoulders,rear_delt,Cable Rear Delt Fly,2,11,36.5,401.5
0,2026-05-18,shoulders,rear_delt,Cable Rear Delt Fly,3,9,33.2,298.8
0,2026-05-18,tricep,lateral_medial,Tricep Pushdown,1,9,41.2,370.8
0,2026-05-18,tricep,lateral_medial,Tricep Pushdown,2,10,45.0,450.0
0,2026-05-18,tricep,lateral_medial,Tricep Pushdown,3,6,40.4,242.4
0,2026-05-19,back,lower_back,Good Morning,1,7,118.7,830.9
0,2026-05-19,back,lower_back,Good Morning,2,7,119.4,835.8
