workout_id,date,day_type,muscle_groups_trained,total_sets,total_volume,duration_min
0,2026-05-11,push,"chest,shoulders,tricep",12,7253.6,56
0,2026-05-12,pull,"back,bicep",12,9464.0,48
0,2026-05-13,legs,legs,10,13220.2,43
0,2026-05-14,push,"chest,shoulders,tricep",12,6647.5,46
0,2026-05-15,pull,"back,bicep",14,9064.8,75
0,2026-05-16,legs,legs,9,11221.0,55
0,2026-05-18,push,"chest,shoulders,tricep",9,5132.9,72
0,2026-05-19,pull,"back,bicep",14,8098.8,61
0,2026-05-20,legs,legs,10,12694.1,66
0,2026-05-21,push,"chest,shoulders,tricep",11,6584.5,52
0,2026-05-22,pull,"back,bicep",14,9729.9,47
0,2026-05-23,legs,legs,11,15420.1,50
0,2026-05-25,push,"chest,shoulders,tricep",11,6196.3,46
0,2026-05-26,pull,"back,bicep",15,11297.9,57
0,2026-05-27,legs,legs,11,15786.1,74
0,2026-05-28,push,"chest,shoulders,tricep",11,6318.8,60
0,2026-05-29,pull,"back,bicep",14,9690.0,50
0,2026-05-30,legs,legs,10,15501.5,71
0,2026-06-02,pull,"back,bicep",15,10239.0,73
0,2026-06-03,legs,legs,11,16716.6,47
0,2026-06-04,push,"chest,shoulders,tricep",11,6212.4,48
0,2026-06-05,pull,"back,bicep",13,10308.5,67
0,2026-06-06,legs,legs,10,13654.5,52
0,2026-06-08,push,"chest,shoulders,tricep",10,5298.6,45
0,2026-06-09,pull,"back,bicep",16,11305.0,74
0,2026-06-10,legs,legs,10,13672.9,47
0,2026-06-11,push,"chest,shoulders,tricep",11,5313.5,71
0,2026-06-12,pull,"back,bicep",15,11284.1,56
0,2026-06-13,legs,legs,10,14385.1,42
0,2026-06-15,push,"chest,shoulders,tricep",10,6161.2,69
0,2026-06-16,pull,"back,bicep",13,9465.6,54
0,2026-06-17,legs,legs,9,11882.4,63
0,2026-06-18,push,"chest,shoulders,tricep",10,5046.7,56
0,2026-06-19,pull,"back,bicep",12,8812.1,66
0,2026-06-20,legs,legs,11,15856.6,41
0,2026-06-23,pull,"back,bicep",14,9474.4,68
0,2026-06-24,legs,legs,10,13797.6,75
0,2026-06-25,push,"chest,shoulders,tricep",12,7294.1,67
0,2026-06-27,legs,legs,9,12246.6,54
0,2026-06-29,push,"chest,shoulders,tricep",10,5608.9,59
0,2026-06-30,pull,"back,bicep",14,8779.4,51
0,2026-07-01,legs,legs,11,14025.6,45
0,2026-07-02,push,"chest,shoulders,tricep",10,5594.5,51
0,2026-07-03,pull,"back,bicep",13,10064.9,69
0,2026-07-04,legs,legs,11,13594.2,61
0,2026-07-08,legs,legs,11,16730.2,67
0,2026-07-09,push,"chest,shoulders,tricep",11,6418.5,50
0,2026-07-10,pull,"back,bicep",14,10279.0,46
0,2026-07-11,legs,legs,11,13756.7,49
0,2026-07-13,push,"chest,shoulders,tricep",11,6629.3,71
0,2026-07-14,pull,"back,bicep",13,8443.5,61
0,2026-07-15,legs,legs,10,14941.7,56
0,2026-07-17,pull,"back,bicep",16,11096.3,62
0,2026-07-18,legs,legs,11,14276.4,44
0,2026-07-20,push,"chest,shoulders,tricep",10,5284.7,45
0,2026-07-21,pull,"back,bicep",16,10413.9,68
0,2026-07-22,legs,legs,10,13788.2,74
0,2026-07-24,pull,"back,bicep",14,9315.8,49
0,2026-07-25,legs,legs,10,13164.7,71
0,2026-07-27,push,"chest,shoulders,tricep",10,5722.4,65
0,2026-07-28,pull,"back,bicep",15,9801.5,65
0,2026-07-29,legs,legs,12,18295.8,70
0,2026-07-30,push,"chest,shoulders,tricep",10,5640.8,60
0,2026-07-31,pull,"back,bicep",15,10401.4,68
0,2026-08-01,legs,legs,10,12739.9,70
0,2026-08-03,push,"chest,shoulders,tricep",11,5448.6,61
